source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,To each member of the graduating class from the National Academy at Quantico CONGRATULATIONS! https://t.co/bGT8S33ZLU,12-15-2017 17:35:59,10079,52942,false,941723524921724928
Twitter for iPhone,It was my honor. THANK YOU! https://t.co/1LvqbRQ1bi,12-15-2017 13:55:01,14133,69299,false,941667918214987776
Twitter for iPhone,RT @GOPChairwoman: .@realDonaldTrump is the Paycheck President. Learn how the tax bill will put more money in your pocket &amp; how to contact…,12-14-2017 23:26:54,10959,0,true,941449449850761217
Twitter for iPhone,“Manufacturing Optimism Rose to Another All-Time High in the Latest @ShopFloorNAM Outlook Survey” https://t.co/LuV4BMp0Xc,12-14-2017 21:20:51,9007,38758,false,941417725833998340
Twitter for iPhone,In 1960 there were approximately 20000 pages in the Code of Federal Regulations. Today there are over 185000 pages as seen in the Roosevelt Room.Today we CUT THE RED TAPE! It is time to SET FREE OUR DREAMS and MAKE AMERICA GREAT AGAIN! https://t.co/teAVNzjvcx,12-14-2017 20:35:13,26104,88904,false,941406242785955841
Twitter for iPhone,When Americans are free to thrive innovate &amp; prosper there is no challenge too great no task too large &amp; no goal beyond our reach. We are a nation of explorers pioneers innovators &amp; inventors. We are nation of people who work hard dream big &amp; who never ever give up... https://t.co/9LVdp6zOgZ,12-14-2017 20:27:00,16849,69650,false,941404173433794561
Twitter for iPhone,Today we gathered in the Roosevelt Room for one single reason: to CUT THE RED TAPE! For many decades an ever-growing maze of regs rules and restrictions has cost our country trillions of dollars millions of jobs countless American factories &amp; devastated entire industries. https://t.co/ostXOVnckf,12-14-2017 20:13:04,12854,57441,false,941400670766321666
Twitter for iPhone,As a candidate I promised we would pass a massive tax cut for the everyday working Americans. If you make your voices heard this moment will be forever remembered as a great new beginning – the dawn of a brilliant American future shining with PATRIOTISM PROSPERITY AND PRIDE! https://t.co/exsBzrlCdw,12-14-2017 17:05:13,18400,77121,false,941353395121741825
Twitter for iPhone,Republican Tax Cuts are looking very good. All are working hard. In the meantime the Stock Market hit another record high!,12-14-2017 12:59:56,17274,92795,false,941291666564141057
Twitter for iPhone,Thank you Omarosa for your service! I wish you continued success.,12-13-2017 23:58:18,13915,86535,false,941094961482780672
Twitter for iPhone,If last night’s election proved anything it proved that we need to put up GREAT Republican candidates to increase the razor thin margins in both the House and Senate.,12-13-2017 14:45:48,20081,101999,false,940955920967880704
Twitter for iPhone,Wow more than 90% of Fake News Media coverage of me is negative with numerous forced retractions of untrue stories. Hence my use of Social Media the only way to get the truth out. Much of Mainstream Meadia has become a joke! @foxandfriends,12-13-2017 13:02:52,29405,120149,false,940930017365778432
Twitter for iPhone,The reason I originally endorsed Luther Strange (and his numbers went up mightily) is that I said Roy Moore will not be able to win the General Election.  I was right! Roy worked hard but the deck was stacked against him!,12-13-2017 11:22:04,15235,75633,false,940904649728708609
