2018-01-27 00:33:00	FOXNEWSW	15	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/1980	)X SOURCE: TRUMP TALKED OUT OF AXING MUELLER. . \\ f'ha afn-rm- \u201dIf\nOX SOURCE: TRUMP DID NOT TELL MCGAHN TO FIRE. IUELLER, BUT DID DISCUSS POSSIBILITY OF DOING SO. . 'T'h thnnv\ufb02-f'nvn Ann: nnm\nl6\u201c...
2018-01-27 00:33:00	MSNBCW	16	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/1980	GOP PUSHES \"FISA ABUSE\" MEMO AS A \"BIG DEAL\
2018-01-27 00:34:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/240	later,\
2018-01-27 00:35:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/300	later,\
2018-01-27 00:35:00	CNNW	40	CNNW_20180127_000000_Erin_Burnett_OutFront/start/2100	IGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER, FBI\nIGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER FBI. . Ben Ferguson Host of \"The Ben Ferguson Show\
2018-01-27 00:35:00	FOXNEWSW	17	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/2100	)X SOURCE: TRUMP TALKED OUT OF AXING MUELLER. . \\ 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nPRESIDENT TRUMP DISMISSES REPORT HE TRIED. TO FIRE ROBERT MUELLER AS \"FAKE NEWS\". . 'T'thtnn-w\ufb02f'nvn aura nnm \\\n)X SOURCE: TRUMP...
2018-01-27 00:35:00	MSNBCW	38	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/2100	REP. NUNES CLAIMS TO HAVE MEMO SHOWING \"FISA ABUSE\"\nNUNES REFUSES TO TURN OVER \"FISA ABUSE\". MEMO TO SENATE INTELLIGENCE COMMITTEE\nDAVID CORN | MOTHER JONES
2018-01-27 00:36:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/360	later,\
2018-01-27 00:37:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/420	later,\
2018-01-27 00:37:00	CNNW	54	CNNW_20180127_000000_Erin_Burnett_OutFront/start/2220	IGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER FBI. . Sallv Kohn Host, \"State of Resistance\" podcast\nIGNORING FACTS GOP PUSHES THEORIES TO DISCREDIT MUELLER FBI. . Sallv Kohn Host, \"State of Resistance\" podcast
