2018-01-04 00:24:00	MSNBCW	24	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1440	NEW BOOK: TRUMP CAMPAIGN LEGAL SPOKESMAN. QUIT OVFD DESTRUCTION O|: JUSTICF CONCFDNS\nBANNON UNLOADS ON TRUMP, FAMILY IN NEW BOOK
2018-01-04 00:25:00	CNNW	32	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1500	BOOK: BANNON SAYS RUSSIA PROBE CENTERS ON \"MONEY LAUNDERING\"\nBANNON, IN NEW BOOK, SAYS RUSSIA PROBE CENTERS ON MONEY. LAUNDERING: \"THEY'RE GOING TO CRACK DON JUNIOR LIKE AN EGG\"\nBOOK: BANNON SAYS...
2018-01-04 00:26:00	CNNW	44	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1560	MANAFORT SUES DOJ, MUELLER OVER RUSSIA PROBE AUTHORITY\nBANNON, IN NEW BOOK, SAYS RUSSIA PROBE CENTERS ON MONEY. LAUNDERING: \"THEY'RE GOING TO CRACK DON JUNIOR LIKE AN EGG\"\nTRUMP ISSUES EXEC...
2018-01-04 00:27:00	CNNW	26	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1620	TRUMP ISSUES EXEC ORDER TO DISSOLVE VOTER FRAUD COMMISSION
2018-01-04 00:28:00	FOXNEWSW	20	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1680	FUSION GPS FOUNDERS WRITE NYT OP-ED. SLAMMING GOP'S \"FAKE INVESTIGATIONS\". . W\nGlenn Simpson & Peter Fritsch. Tuesday\nRM BEHIND TRUMP DOSSIER DEFENDS DOCUMENT I\nFUSION GPS FOUNDERS WRITE NYT OP-ED. SLAMMING GOP'S...
2018-01-04 00:29:00	CNNW	17	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1740	8OO\u2014685\u201412O5
2018-01-04 00:29:00	FOXNEWSW	26	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1740	I\u00bb BILL BROWDER | CEO, HERMITAGE CAPITAL MANAGEMENT. . FUSION GPS FOUNDERS WRITE NYT OP-ED. cl AMMING nnp-c \"FAKF INVFCTIGATIONC\" T;\nISION GPS \"SHOCKED\" BY DOSSIER CONTENTS. . W\nr. BILL BROWDER | FORMER TARGET OF FUSION GPS. . FUSION GPS FOUNDERS WRITE NYT OP-ED. cl...
2018-01-04 00:29:00	MSNBCW	9	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1740	RARE SNOWFALL IN FLORIDA\nSource: FLIGHTAWARE '
2018-01-04 00:30:00	BBCNEWS	9	BBCNEWS_20180104_000000_Newsday/start/1800	Facebook. NEWSDAV Fernando de' Va'le VI\\Ia\\obos
2018-01-04 00:30:00	CNNW	14	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1800	BOOK: TRUMP NEVER THOUGHT HE'D BE ELECTED PRESIDENT\nBOOK: TRUMP HORRIFIED ON ELECTION NIGHT OVER IMMINENT VICTORY
2018-01-04 00:30:00	MSNBCW	7	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1800	BOTH LO'I'I'O JACKPOTS TOP $4OOM FOR FIRST TIME
2018-01-04 00:31:00	FOXNEWSW	51	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1860	IIR VICTIM OF FUSION GPS TACTICS SPEAKS OUT 7;\nIIR VICTIM OF FUSION GPS TACTICS SPEAKS OUT
2018-01-04 00:31:00	MSNBCW	41	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1860	WH: IT'S NOT TAUNTING TO STAND UP FOR THE U.S.
2018-01-04 00:32:00	CNNW	49	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1920	BOOK: TRUMP HORRIFIED ON ELECTION NIGHT OVER IMMINENT VICTORY\nBOOK: TRUMP HORRIFIED ON ELECTION NIGHT OVER IMMINENT VICTORY. . David Gerqen Former Presidential Adviser
2018-01-04 00:32:00	FOXNEWSW	28	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1920	)MBSHELL RPT RAISES NEW QUESTIONS ABOUT FBI 7.:\nRM BEHIND TRUMP DOSSIER DEFENDS DOCUMENT. . the urn-nun n\u00bb. lair\nAETZ ON FBI'S HANDLING OF INVESTIGATIONS T;
