2017-12-07 00:27:00	MSNBCW	10	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1620	REP. CHERI BUSTOS I (D) ILLINOIS
2017-12-07 00:28:00	FOXNEWSW	33	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1680	WRITER IMPLIES GRONKOWSKI IS. FACE OF WHITE PRIVILEGE IN NFL\n> BIL]. BE y, In. . WRITER iMPLIEs GRONKOWSKI IS. FAFF OF WHITF DDIVII FGF IN NFI
2017-12-07 00:29:00	FOXNEWSW	7	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1740	. . nnnn. . . . In) nu +'hn \u00ab3+an \"\\. . l\nWRITER IMPLIES GRONKOWSKI IS. FACE OF WHITE PRIVILEGE IN NFL\nAvailable bv prescription onlv. Results mav varv.
2017-12-07 00:30:00	FOXNEWSW	3	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1800	Available bv prescription onlv. Results mav varv.
2017-12-07 00:31:00	CNNW	23	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1860	MORE THAN 3O SENATE DEMS CALL FOR FRANKEN TO RESIGN\nFRANKEN: \"NO FINAL DECISION\" MADE ON RESIGNATION\nMORE THAN 3O SENATE DEMS CALL FOR FRANKEN TO RESIGN. . Sen. Kirsten Gillibrand (D)...
2017-12-07 00:32:00	CNNW	48	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1920	MORE THAN 3O SENATE DEMS CALL FOR FRANKEN TO RESIGN\nMORE THAN 3O SENATE DEMS CALL FOR FRANKEN TO RESIGN. . MJ Lee cw National Politics Reporter
2017-12-07 00:32:00	MSNBCW	13	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1920	WILDFIRE TEARS THROUGH L.A.\u2019S BEL-AIR NEIGHBORHOOD\nCA WILDFIRES FORCE NEARLY 2OO,OOO EVACUATIONS\nSTRONG WINDS FUEL WILDFIRE IN VENTURA COUNTY, CA\nDON TRUMP JR. QUESTIONED BY HOUSE...
2017-12-07 00:33:00	FOXNEWSW	20	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1980	DOJ COMBING THROUGH OVER 1O,OOO TEXTS. ICHANGED BY FBI OFFICIAL KICKED OFF RUSSIA PROBE
2017-12-07 00:33:00	MSNBCW	13	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1980	DON TRUMP JR. QUESTIONED BY HOUSE INTELLIGENCE CMTE.
2017-12-07 00:34:00	FOXNEWSW	16	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/2040	DONALD TRUMP JR WRAPS UP EIGHT HOURS. OF TESTIMONY BEFORE HOUSE INTEL COMMITTEE\nDOJ COMBING THROUGH OVER 1O,OOO TEXTS. ICHANGED BY FBI OFFICIAL KICKED OFF RUSSIA PROBE
2017-12-07 00:34:00	MSNBCW	28	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/2040	DON TRUMP JR. QUESTIONED BY HOUSE INTELLIGENCE CMTE.\nEXCLUSIVE: RUSSIAN LAWYER SAYS TRUMP JR.. ASKFD mp Cl INTON INFO AT TplIMp TOWFD MFFI'ING\nEXCLUSIVE: RUSSIAN LAWYER: TRUMP JR. WANTED...
2017-12-07 00:35:00	MSNBCW	20	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/2100	EXCLUSIVE: RUSSIAN LAWYER SAYS TRUMP JR.. ASKFD mp Cl INTON INFO AT TDllMD TOWFD MFFI'ING\nTRUMP JR. GUESTIONED BY HOUSE INTELLIGENCE CMTE.\nEXCLUSIVE: RUSSIAN LAWYER: TRUMP JR. WANTED TO KNOW IF. SHF HAD FVInFNCF OF H l FGAI...
2017-12-07 00:36:00	FOXNEWSW	6	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/2160	REP GOWDY ON DON JR TESTIMONY:. \"HE WAS INCREDIBLY PROFESSIONAL\
2017-12-07 00:36:00	MSNBCW	24	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/2160	EXCLUSIVE: RUSSIAN LAWYER: TRUMP JR. SEEMED TO LOSE. INTFDFST ONCF HF DFAI I7I=n SHF DIDN'T HAVF Cl INTON INFO\nTRUMP JR. GUESTIONED BY HOUSE INTELLIGENCE CMTE.\nEXCLUSIVE: RUSSIAN LAWYER: TRUMP JR. WANTED TO KNOW IF. SHF HAD FVIDFNCF OF H I FGAI...
2017-12-07 00:37:00	CNNW	38	CNNW_20171207_000000_Erin_Burnett_OutFront/start/2220	FRANKEN TO MAKE ANNOUNCEMENT TOMORROW,. SAYS NO FINAL DECISION HAS BEEN MADE ON RESIGNATION\nMORE THAN 3O SENATE DEMS CALL FOR FRANKEN TO RESIGN. . Jack Kingston Former Senior Adviser, 2O16 Trump Campaign\nMORE THAN 3O SENATE...
2017-12-07 00:37:00	MSNBCW	39	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/2220	TRUMP JR. GUESTIONED BY HOUSE INTELLIGENCE CMTE.
